Principle,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,Timor-Leste
overall,71,44,86,3,87,4,80,86,62,79,3
p1,33,24,67,0,91,0,76,86,52,48,0
p2,89,22,89,0,89,0,78,89,67,78,0
p3,81,33,91,0,86,0,62,81,81,67,0
p4,67,78,89,0,67,0,89,78,67,78,0
p5,73,60,87,20,87,27,80,93,67,93,20
p6,67,56,78,0,89,0,78,78,44,100,0
p7,89,33,100,0,100,0,100,100,56,89,0
p1.1,1,1,1,0,2,0,3,2,2,2,0
p1.2,1,1,1,0,3,0,3,2,2,2,0
p1.3,1,1,2,0,3,0,3,3,2,2,0
p1.4,0,0,1,0,2,0,0,3,1,0,0
p1.5,1,1,3,0,3,0,2,3,2,1,0
p1.6,2,1,3,0,3,0,2,3,1,2,0
p1.7,1,0,3,0,3,0,3,2,1,1,0
p2.1,3,1,2,0,3,0,3,3,2,3,0
p2.2,3,1,3,0,3,0,3,2,2,3,0
p2.3,2,0,3,0,2,0,1,3,2,1,0
p3.1,3,1,3,0,3,0,2,3,3,2,0
p3.2,1,0,1,0,1,0,1,1,2,1,0
p3.3,3,2,3,0,3,0,2,2,3,2,0
p3.4,1,1,3,0,2,0,2,2,1,2,0
p3.5,3,1,3,0,3,0,1,3,3,3,0
p3.6,3,1,3,0,3,0,3,3,2,2,0
p3.7,3,1,3,0,3,0,2,3,3,2,0
p4.1,3,2,3,0,2,0,3,2,2,3,0
p4.2,2,2,2,0,2,0,2,2,3,3,0
p4.3,1,3,3,0,2,0,3,3,1,1,0
p5.1,3,2,3,1,3,1,3,3,3,3,1
p5.2,3,2,3,1,3,1,2,3,3,3,1
p5.3,2,2,3,1,3,1,3,3,2,3,1
p5.4,3,2,3,0,2,0,2,3,2,3,0
p5.5,0,1,1,0,2,1,2,2,0,2,0
p6.1,2,1,2,0,2,0,2,2,2,3,0
p6.2,2,3,2,0,3,0,2,3,1,3,0
p6.3,2,1,3,0,3,0,3,2,1,3,0
p7.1,3,1,3,0,3,0,3,3,1,3,0
p7.2,2,1,3,0,3,0,3,3,2,3,0
p7.3,3,1,3,0,3,0,3,3,2,2,0